elevation_m,area_dam2,capacity_dam3
625.716,7.09,0.108
625.717,7.11,0.108
625.718,7.14,0.108
625.719,7.17,0.109
625.72,7.19,0.109
625.721,7.22,0.11
625.722,7.25,0.11
625.723,7.27,0.11
625.724,7.3,0.111
625.725,7.33,0.111
625.726,7.35,0.112
625.727,7.38,0.112
625.728,7.41,0.112
625.729,7.43,0.113
625.73,7.46,0.113
625.731,7.49,0.114
625.732,7.51,0.114
625.733,7.54,0.115
625.734,7.57,0.115
625.735,7.59,0.115
625.736,7.62,0.116
625.737,7.65,0.116
625.738,7.67,0.117
625.739,7.7,0.117
625.74,7.73,0.117
625.741,7.75,0.118
625.742,7.78,0.118
625.743,7.81,0.119
625.744,7.83,0.119
625.745,7.86,0.119
625.746,7.89,0.12
625.747,7.91,0.12
625.748,7.94,0.121
625.749,7.97,0.121
625.75,7.99,0.121
625.751,8.02,0.122
625.752,8.05,0.122
625.753,8.07,0.123
625.754,8.1,0.123
625.755,8.14,0.124
625.756,8.18,0.125
625.757,8.22,0.127
625.758,8.26,0.128
625.759,8.3,0.129
625.76,8.34,0.13
625.761,8.38,0.131
625.762,8.42,0.133
625.763,8.46,0.134
625.764,8.5,0.135
625.765,8.54,0.136
625.766,8.58,0.138
625.767,8.62,0.139
625.768,8.66,0.14
625.769,8.7,0.141
625.77,8.73,0.142
625.771,8.77,0.144
625.772,8.81,0.145
625.773,8.85,0.146
625.774,8.89,0.147
625.775,8.93,0.148
625.776,8.97,0.15
625.777,9.01,0.151
625.778,9.05,0.152
625.779,9.09,0.153
625.78,9.13,0.155
625.781,9.17,0.156
625.782,9.21,0.157
625.783,9.25,0.158
625.784,9.29,0.159
625.785,9.33,0.161
625.786,9.37,0.162
625.787,9.41,0.163
625.788,9.45,0.164
625.789,9.49,0.165
625.79,9.53,0.167
625.791,9.57,0.168
625.792,9.61,0.169
625.793,9.65,0.17
625.794,9.69,0.172
625.795,9.73,0.173
625.796,9.77,0.174
625.797,9.81,0.175
625.798,9.85,0.176
625.799,9.89,0.178
625.8,9.92,0.179
625.801,9.96,0.18
625.802,10,0.181
625.803,10,0.182
625.804,10.1,0.184
625.805,10.1,0.185
625.806,10.2,0.186
625.807,10.2,0.187
625.808,10.2,0.189
625.809,10.3,0.19
625.81,10.3,0.191
625.811,10.4,0.192
625.812,10.4,0.193
625.813,10.4,0.195
625.814,10.5,0.196
625.815,10.5,0.197
625.816,10.6,0.198
625.817,10.6,0.199
625.818,10.6,0.201
625.819,10.7,0.202
625.82,10.7,0.203
625.821,10.8,0.204
625.822,10.8,0.205
625.823,10.8,0.207
625.824,10.9,0.208
625.825,10.9,0.209
625.826,11,0.21
625.827,11,0.212
625.828,11,0.213
625.829,11.1,0.214
625.83,11.1,0.215
625.831,11.2,0.216
625.832,11.2,0.218
625.833,11.2,0.219
625.834,11.3,0.22
625.835,11.3,0.221
625.836,11.4,0.222
625.837,11.4,0.224
625.838,11.4,0.225
625.839,11.5,0.226
625.84,11.5,0.227
625.841,11.6,0.229
625.842,11.6,0.23
625.843,11.6,0.231
625.844,11.7,0.232
625.845,11.7,0.233
625.846,11.7,0.235
625.847,11.8,0.236
625.848,11.8,0.237
625.849,11.9,0.238
625.85,11.9,0.239
625.851,11.9,0.241
625.852,12,0.242
625.853,12,0.243
625.854,12.1,0.244
625.855,12.1,0.246
625.856,12.1,0.247
625.857,12.2,0.248
625.858,12.2,0.249
625.859,12.3,0.25
625.86,12.3,0.252
625.861,12.3,0.253
625.862,12.4,0.254
625.863,12.4,0.255
625.864,12.5,0.256
625.865,12.5,0.258
625.866,12.5,0.259
625.867,12.6,0.26
625.868,12.6,0.261
625.869,12.7,0.263
625.87,12.7,0.264
625.871,12.7,0.265
625.872,12.8,0.266
625.873,12.8,0.267
625.874,12.9,0.269
625.875,12.9,0.27
625.876,12.9,0.271
625.877,13,0.272
625.878,13,0.273
625.879,13.1,0.275
625.88,13.1,0.276
625.881,13.1,0.277
625.882,13.2,0.278
625.883,13.2,0.279
625.884,13.3,0.281
625.885,13.3,0.282
625.886,13.3,0.283
625.887,13.4,0.284
625.888,13.4,0.286
625.889,13.5,0.287
625.89,13.5,0.288
625.891,13.5,0.289
625.892,13.6,0.29
625.893,13.6,0.292
625.894,13.7,0.293
625.895,13.7,0.294
625.896,13.7,0.295
625.897,13.8,0.296
625.898,13.8,0.298
625.899,13.9,0.299
625.9,13.9,0.3
625.901,13.9,0.301
625.902,14,0.303
625.903,14,0.304
625.904,14.1,0.305
625.905,14.1,0.306
625.906,14.1,0.307
625.907,14.2,0.309
625.908,14.2,0.31
625.909,14.2,0.311
625.91,14.3,0.312
625.911,14.3,0.313
625.912,14.4,0.315
625.913,14.4,0.316
625.914,14.4,0.317
625.915,14.5,0.318
625.916,14.5,0.32
625.917,14.6,0.321
625.918,14.6,0.322
625.919,14.6,0.323
625.92,14.7,0.324
625.921,14.7,0.326
625.922,14.8,0.327
625.923,14.8,0.328
625.924,14.8,0.329
625.925,14.9,0.33
625.926,14.9,0.332
625.927,15,0.333
625.928,15,0.334
625.929,15,0.335
625.93,15.1,0.337
625.931,15.1,0.338
625.932,15.2,0.339
625.933,15.2,0.34
625.934,15.2,0.341
625.935,15.3,0.343
625.936,15.3,0.344
625.937,15.4,0.345
625.938,15.4,0.346
625.939,15.4,0.347
625.94,15.5,0.349
625.941,15.5,0.35
625.942,15.6,0.351
625.943,15.6,0.352
625.944,15.6,0.353
625.945,15.7,0.355
625.946,15.7,0.356
625.947,15.8,0.357
625.948,15.8,0.358
625.949,15.8,0.36
625.95,15.9,0.361
625.951,15.9,0.362
625.952,16,0.363
625.953,16,0.364
625.954,16,0.366
625.955,16.1,0.367
625.956,16.1,0.368
625.957,16.2,0.369
625.958,16.2,0.37
625.959,16.2,0.372
625.96,16.3,0.373
625.961,16.3,0.374
625.962,16.4,0.375
625.963,16.4,0.377
625.964,16.4,0.378
625.965,16.5,0.379
625.966,16.5,0.38
625.967,16.6,0.381
625.968,16.6,0.383
625.969,16.6,0.384
625.97,16.7,0.385
625.971,16.7,0.386
625.972,16.7,0.387
625.973,16.8,0.389
625.974,16.8,0.39
625.975,16.9,0.391
625.976,16.9,0.392
625.977,16.9,0.394
625.978,17,0.395
625.979,17,0.396
625.98,17.1,0.397
625.981,17.1,0.398
625.982,17.1,0.4
625.983,17.2,0.401
625.984,17.2,0.402
625.985,17.3,0.403
625.986,17.3,0.404
625.987,17.3,0.406
625.988,17.4,0.407
625.989,17.4,0.408
625.99,17.5,0.409
625.991,17.5,0.411
625.992,17.5,0.412
625.993,17.6,0.413
625.994,17.6,0.414
625.995,17.7,0.415
625.996,17.7,0.417
625.997,17.7,0.418
625.998,17.8,0.419
625.999,17.8,0.42
626,17.9,0.421
626.001,17.9,0.423
626.002,17.9,0.424
626.003,18,0.425
626.004,18,0.426
626.005,18.1,0.427
626.006,18.1,0.429
626.007,18.1,0.43
626.008,18.2,0.431
626.009,18.2,0.432
626.01,18.3,0.434
626.011,18.3,0.435
626.012,18.3,0.436
626.013,18.4,0.437
626.014,18.4,0.438
626.015,18.5,0.44
626.016,18.5,0.441
626.017,18.5,0.442
626.018,18.6,0.443
626.019,18.6,0.444
626.02,18.7,0.446
626.021,18.7,0.447
626.022,18.7,0.448
626.023,18.8,0.449
626.024,18.8,0.451
626.025,18.9,0.452
626.026,18.9,0.453
626.027,18.9,0.454
626.028,19,0.455
626.029,19,0.457
626.03,19,0.458
626.031,19.1,0.459
626.032,19.1,0.46
626.033,19.2,0.461
626.034,19.2,0.463
626.035,19.2,0.464
626.036,19.3,0.465
626.037,19.3,0.466
626.038,19.4,0.468
626.039,19.4,0.469
626.04,19.4,0.47
626.041,19.5,0.471
626.042,19.5,0.472
626.043,19.6,0.474
626.044,19.6,0.475
626.045,19.6,0.476
626.046,19.7,0.477
626.047,19.7,0.478
626.048,19.8,0.48
626.049,19.8,0.481
626.05,19.8,0.482
626.051,19.9,0.483
626.052,19.9,0.485
626.053,20,0.486
626.054,20,0.487
626.055,20,0.488
626.056,20.1,0.489
626.057,20.1,0.491
626.058,20.2,0.492
626.059,20.2,0.493
626.06,20.4,0.496
626.061,20.5,0.5
626.062,20.7,0.503
626.063,20.8,0.506
626.064,21,0.509
626.065,21.2,0.513
626.066,21.3,0.516
626.067,21.5,0.519
626.068,21.6,0.522
626.069,21.8,0.526
626.07,21.9,0.529
626.071,22.1,0.532
626.072,22.3,0.536
626.073,22.4,0.539
626.074,22.6,0.542
626.075,22.7,0.545
626.076,22.9,0.549
626.077,23.1,0.552
626.078,23.2,0.555
626.079,23.4,0.558
626.08,23.5,0.562
626.081,23.7,0.565
